word,history,part_of_speech
coxia,,substantivo feminino
coxim,,substantivo masculino
cozer,,"verbo transitivo direto, bitransitivo e intransitivo"
cozeu,,
crack,,substantivo masculino
crase,,substantivo feminino
crash,,
crato,,substantivo masculino
crave,,
cravo,,substantivo masculino
crawl,,substantivo masculino
crece,,
crede,,
credo,,substantivo masculino
creem,,
crega,,feminino
crego,,
creia,,
creio,,
creme,,substantivo masculino
crepe,,substantivo masculino
creso,,
criai,,
criam,,
criar,,verbo transitivo direto
crias,,
crica,,substantivo feminino
criei,,
criem,,
cries,,
crime,,substantivo masculino
crina,,substantivo feminino
criou,,
crise,,substantivo feminino
crivo,,substantivo masculino
croac,,
croca,,substantivo feminino
croia,,feminino
croio,,
cromo,,substantivo masculino
crude,,
cruel,,adjetivo
crush,,substantivo masculino e feminino
cuais,,
cuata,,
cubar,,verbo transitivo
cucar,,verbo intransitivo
cucho,,
cudar,,
cueca,,substantivo feminino
cuica,,substantivo feminino
cuida,,substantivo deverbal
cuido,,substantivo masculino
cuite,,substantivo masculino
cujas,,
cujos,,
culpa,,substantivo feminino
culpe,,
culpo,,
culto,,substantivo masculino
cumbe,,substantivo masculino
cumel,,
cumim,,substantivo masculino
cumio,,
cunca,,substantivo feminino
cunco,,substantivo masculino
cunha,,substantivo feminino
cunho,,substantivo masculino
cupim,,substantivo masculino
curai,,
cural,,
curam,,
curar,,verbo transitivo
curas,,
curdo,,substantivo masculino
curei,,
curem,,
cures,,
curia,,substantivo feminino
curio,,
curou,,
curra,,substantivo feminino
curro,,substantivo masculino
curry,,substantivo masculino
curso,,substantivo masculino
curta,,adjetivo
curto,,adjetivo
curua,,
curva,,substantivo feminino
curve,,
curvo,,adjetivo
cusca,,
cusco,,substantivo masculino
cuspo,,substantivo masculino
custa,,substantivo feminino
custe,,
custo,,substantivo masculino
cuter,,substantivo masculino
cutia,,substantivo feminino
cutis,,substantivo feminino
cuxiu,,substantivo masculino
cuzao,,
dacao,,substantivo feminino
dacar,,substantivo masculino
dacha,,
dadas,,
dador,,substantivo masculino
dados,,substantivo masculino plural
daime,,
dakar,,
dalem,,contracao
dalia,,substantivo feminino
dalva,,
dalvo,,
damao,,
damas,,
damba,,feminino
damno,,
danai,,
danam,,
danar,,verbo transitivo
danca,,substantivo feminino
dance,,substantivo deverbal
dandi,,substantivo masculino
dando,,
danei,,
danem,,
danes,,"adjetivo, substantivo masculino"
danos,,
danou,,
daqui,,contracao
darao,,
darci,,
dardo,,substantivo masculino
darei,,
daria,,
dario,,
darma,,substantivo masculino
datar,,verbo transitivo
datas,,
daude,,
davam,,
david,,
davis,,
debil,,adjetivo
debut,,
decam,,
decas,,
decei,,
decem,,
decer,,
deces,,
deceu,,
decia,,
dedal,,substantivo masculino
dedao,,substantivo masculino
dedos,,
deise,,
deita,,substantivo feminino
deite,,
deito,,
deixa,,substantivo feminino
deixe,,
deixo,,
delas,,
delei,,
deles,,
delir,,verbo transitivo
delta,,substantivo masculino
demos,,
dende,,adjetivo
densa,,adjetivo
denso,,adjetivo
dente,,substantivo masculino
depor,,verbo transitivo direto
depre,,adjetivo
deque,,substantivo masculino
deram,,substantivo deverbal
derbi,,substantivo masculino
derby,,substantivo masculino
derma,,substantivo masculino
derme,,substantivo feminino
desar,,substantivo masculino
desca,,
desce,,
desci,,
desco,,
desde,,preposicao
desdo,,
despi,,
dessa,,contracao
desse,,contracao
desta,,contracao
deste,,contracao
detem,,substantivo deverbal
deter,,verbo transitivo direto
detox,,
deusa,,substantivo feminino
dever,,verbo regencia multipla
deves,,
devia,,
devir,,substantivo masculino
diaba,,substantivo feminino
diabo,,substantivo masculino
diade,,numeral
diafa,,substantivo feminino
diana,,
dicar,,verbo bitransitivo
dieco,,
diega,,
diego,,
diese,,feminino
dieta,,substantivo feminino
digna,,adjetivo
digno,,adjetivo
dildo,,
dilma,,
dilmo,,
dimer,,
dinas,,
dinda,,substantivo feminino
dingo,,substantivo masculino
dinka,,
diodo,,substantivo masculino
dioga,,
diogo,,substantivo masculino
dione,,
dique,,substantivo masculino
direi,,
disco,,substantivo masculino
disel,,
disse,,
disso,,contracao
disto,,contracao
ditar,,verbo transitivo
ditas,,
ditos,,
divas,,
divos,,
dizem,,
dizer,,verbo transitivo direto e bitransitivo
dizia,,
doada,,
doado,,adjetivo
doais,,
doara,,
doava,,
dobra,,substantivo feminino
dobre,,substantivo masculino
dobro,,numeral
docar,,verbo transitivo direto
docem,,
doces,,
docil,,adjetivo
dodoi,,substantivo masculino
dodos,,
doeis,,
doera,,
dogao,,
dogma,,substantivo masculino
dogue,,substantivo masculino
doiam,,
doias,,
doida,,substantivo feminino
doido,,substantivo masculino
doira,,
doiro,,
dolar,,substantivo masculino
dolor,,substantivo masculino
domar,,verbo transitivo
donas,,
donde,,contracao
dondo,,adjetivo
dongo,,substantivo masculino
donos,,
dopar,,verbo transitivo direto
doris,,substantivo masculino
dorna,,substantivo feminino
dorso,,substantivo masculino
dorze,,
dotar,,verbo transitivo
douda,,substantivo feminino
doudo,,adjetivo
doula,,substantivo feminino
doura,,
doure,,
douro,,
douto,,substantivo masculino
draft,,
draga,,
drama,,substantivo masculino
drene,,
dreno,,substantivo masculino
drive,,substantivo masculino
droga,,substantivo feminino
drogo,,
drone,,substantivo masculino
drope,,
drops,,substantivo masculino singular e plural
drupa,,substantivo feminino
drusa,,substantivo feminino
druso,,adjetivo
dubia,,
dubio,,adjetivo
duble,,substantivo masculino
ducal,,adjetivo
ducha,,substantivo feminino
duche,,substantivo masculino
ducho,,
ducto,,substantivo masculino
duelo,,substantivo masculino
duere,,
dueto,,substantivo masculino
dumas,,
dumba,,
dupla,,substantivo feminino
duplo,,numeral
duque,,substantivo masculino
durai,,
duram,,
durar,,verbo intransitivo
duras,,"substantivo feminino, plural"
durei,,
durem,,
dures,,
duros,,
durou,,
dutra,,
duzia,,substantivo feminino
ebano,,substantivo masculino
ebola,,substantivo masculino
ebook,,
ebria,,
ebrio,,adjetivo
ecler,,
ecoai,,
ecoar,,verbo intransitivo
ecran,,substantivo masculino
edeia,,
edema,,substantivo masculino
edens,,
edite,,
edito,,substantivo masculino
ednas,,
ednos,,
efebo,,substantivo masculino
efire,,
efode,,substantivo masculino
egide,,substantivo feminino
egito,,substantivo masculino
eiras,,
eivar,,verbo transitivo
eixos,,
elemi,,substantivo masculino
elepe,,substantivo masculino
elfos,,
elias,,
elisa,,
elise,,
eliso,,
elite,,substantivo feminino
eloas,,
elvas,,
elzas,,
elzos,,
email,,
emane,,
emano,,
embua,,
emero,,substantivo masculino
emese,,substantivo feminino
emico,,adjetivo
emoji,,substantivo masculino
empar,,verbo transitivo
empos,,"preposicao, adverbio"
enche,,
encho,,
endes,,
endez,,substantivo masculino
endro,,substantivo masculino
enfia,,substantivo masculino
enfim,,adverbio
engos,,substantivo masculino plural
engua,,
enjoo,,substantivo masculino
enoja,,
enojo,,substantivo masculino
entao,,adverbio
entra,,
entre,,preposicao
entro,,
envio,,substantivo masculino
enzas,,
enzos,,
epica,,adjetivo
epico,,adjetivo
epoca,,substantivo feminino
epoxi,,apositivo
erado,,adjetivo
erais,,
erbio,,substantivo masculino
ereis,,
erere,,
ereto,,adjetivo
ergue,,
erica,,feminino
erice,,substantivo feminino
ermas,,
errai,,
erram,,
errar,,verbo transitivo
erras,,
errei,,
errem,,
erres,,
error,,
errou,,
ervas,,
erzya,,
escol,,substantivo masculino
esfia,,
esgar,,substantivo masculino
esmar,,verbo transitivo direto
espia,,
espie,,
espio,,
espir,,
espru,,substantivo
esqui,,substantivo masculino
essas,,
esses,,
estao,,substantivo deverbal
estar,,verbo predicativo
estas,,
ester,,substantivo masculino
estes,,
estie,,
estio,,substantivo masculino
estol,,substantivo masculino
estou,,
estro,,substantivo masculino
etano,,substantivo masculino
etapa,,substantivo feminino
eteno,,
ethos,,substantivo masculino
etica,,substantivo feminino
etico,,adjetivo
etimo,,substantivo masculino
etnia,,substantivo feminino
etude,,
evade,,
evite,,
evito,,
evora,,
exalo,,
exame,,substantivo masculino
exata,,
exato,,adjetivo
exido,,substantivo masculino
exime,,
exito,,substantivo masculino
exodo,,substantivo masculino
expor,,"verbo transitivo direto, bitransitivo e pronominal"
extra,,adjetivo
exuma,,
exume,,
exumo,,
fabia,,
fabio,,
facam,,substantivo deverbal
facao,,substantivo masculino
faces,,
facha,,substantivo feminino
facho,,substantivo masculino
facil,,adjetivo
facto,,substantivo masculino
fados,,
faial,,substantivo masculino
faiar,,verbo transitivo direto
faina,,substantivo feminino
faito,,
faixa,,substantivo feminino
falai,,
falam,,
falar,,verbo regencia multipla
falas,,
falaz,,adjetivo
falca,,substantivo feminino
falda,,substantivo feminino
falei,,
falem,,
fales,,
falha,,substantivo feminino
falhe,,
falho,,adjetivo
falir,,verbo intransitivo
falou,,
falsa,,adjetivo
falso,,adjetivo
falta,,substantivo feminino
falte,,
falto,,adjetivo
falus,,substantivo masculino
fanal,,substantivo masculino
fanar,,verbo transitivo
fanga,,substantivo feminino
fanha,,substantivo feminino e masculino
fanho,,adjetivo
fanta,,
farad,,substantivo masculino
farao,,substantivo deverbal
farda,,substantivo feminino
fardo,,substantivo masculino
faria,,
farol,,substantivo masculino
farpa,,substantivo feminino
farra,,substantivo feminino
farsa,,substantivo feminino
farta,,substantivo feminino
farte,,substantivo masculino
farto,,adjetivo
farum,,substantivo masculino
fasor,,substantivo masculino
fasta,,interjeicao
fasto,,adjetivo
fatal,,adjetivo
fatao,,substantivo masculino
fatia,,substantivo feminino
fatie,,
fatio,,
fator,,substantivo masculino
fatuo,,adjetivo
fauce,,substantivo feminino
faula,,substantivo feminino
fauna,,substantivo feminino
fauno,,substantivo masculino
favor,,substantivo masculino
fazei,,
fazem,,
fazer,,verbo transitivo direto
fazia,,substantivo deverbal
febeu,,adjetivo
febra,,substantivo feminino
febre,,substantivo feminino
fecal,,adjetivo
fecha,,substantivo deverbal
feche,,
fecho,,substantivo masculino
feder,,verbo intransitivo
fedor,,substantivo masculino
feias,,
feijo,,
feios,,
feira,,substantivo feminino
feire,,
feiro,,
feita,,substantivo feminino
feito,,adjetivo
feixe,,substantivo masculino
felas,,
feleo,,adjetivo
felix,,
feliz,,adjetivo
felpa,,substantivo feminino
felpo,,substantivo masculino
femea,,substantivo feminino
femeo,,adjetivo
femur,,substantivo masculino
fenda,,substantivo feminino
fende,,
fenix,,substantivo feminino
fenol,,substantivo masculino
fento,,substantivo masculino
feofo,,
feras,,
feraz,,adjetivo
feria,,substantivo feminino
ferie,,
ferio,,
ferir,,verbo transitivo
fermi,,
feros,,
feroz,,adjetivo
ferra,,substantivo feminino
ferro,,substantivo masculino
ferve,,
fervo,,
festa,,substantivo feminino
fetal,,substantivo masculino
feudo,,substantivo masculino
fezes,,substantivo feminino plural
fiado,,adjetivo
fiama,,
fiapo,,substantivo masculino
fibra,,substantivo feminino
ficar,,"verbo predicativo, transitivo indireto e intransitivo"
ficha,,substantivo feminino
ficou,,
figle,,substantivo masculino
figos,,
filao,,substantivo masculino
filer,,
filet,,
filha,,substantivo feminino
filho,,substantivo masculino
filie,,
filio,,
filme,,substantivo masculino
filmo,,
fimia,,
final,,adjetivo
finas,,
finca,,
finda,,substantivo feminino
finde,,
findo,,adjetivo
fines,,"adjetivo, substantivo masculino"
finta,,substantivo feminino
fiofo,,substantivo masculino
fiota,,"adjetivo masculino, feminino, substantivo masculino"
fiote,,substantivo masculino
fique,,substantivo feminino
firma,,substantivo feminino
firme,,adjetivo
firmo,,
fisco,,substantivo masculino
fisga,,substantivo feminino
fitar,,"verbo transitivo direto, bitransitivo e pronominal"
fitas,,
fixai,,
fixam,,
fixar,,verbo transitivo direto e pronominal
fixas,,
fixei,,
fixem,,
fixes,,
fixou,,
flama,,substantivo feminino
flape,,substantivo masculino
flash,,substantivo masculino
flate,,
flato,,substantivo masculino
flava,,
flavo,,adjetivo
fleme,,substantivo masculino
flete,,substantivo masculino
flirt,,
floco,,substantivo masculino
flora,,substantivo feminino
flore,,
floro,,
fluir,,verbo transitivo indireto e intransitivo
fluor,,
flush,,substantivo masculino
fluxo,,substantivo masculino
fobia,,substantivo feminino
focao,,
focar,,verbo transitivo direto
fodao,,
fodas,,
fodaz,,
foder,,"verbo transitivo direto, transitivo indireto e intransitivo"
fofai,,
fofam,,
fofao,,
fofar,,verbo transitivo
fofas,,
fofei,,
fofem,,
fofes,,
fofis,,
fofos,,
fofou,,
fogao,,substantivo masculino
fogem,,
foges,,
foice,,substantivo feminino
foila,,feminino
foito,,adjetivo
folar,,substantivo masculino
folga,,substantivo feminino
folha,,substantivo feminino
folhe,,
folho,,substantivo masculino
folia,,substantivo feminino
folie,,
folio,,substantivo masculino
fomes,,substantivo masculino
fomos,,
fonte,,substantivo feminino
foral,,substantivo masculino
foram,,
foras,,
forca,,substantivo feminino
force,,
forem,,substantivo deverbal
fores,,
forja,,substantivo feminino
forjo,,
forma,,substantivo feminino
forme,,
forno,,substantivo masculino
foros,,
forra,,substantivo feminino
forre,,
forro,,substantivo masculino
forte,,adjetivo
forum,,substantivo masculino
fosca,,substantivo feminino
fosco,,adjetivo
fossa,,substantivo feminino
fosse,,substantivo deverbal
fosso,,substantivo masculino
foste,,
fotao,,
foton,,substantivo masculino
fouce,,feminino
foula,,
fouto,,
fraca,,
fraco,,adjetivo
frade,,substantivo masculino
fraga,,substantivo feminino
frame,,
frape,,
frase,,substantivo feminino
frear,,verbo transitivo e intransitivo
freio,,substantivo masculino
fresa,,substantivo feminino
freso,,
frete,,substantivo masculino
frias,,
frila,,substantivo masculino e feminino
frios,,
frisa,,substantivo feminino
friso,,substantivo masculino
frita,,substantivo feminino
frito,,adjetivo
friul,,substantivo masculino
froco,,substantivo masculino
front,,substantivo masculino
frota,,substantivo feminino
fruir,,"verbo transitivo direto, transitivo indireto e intransitivo"
fruis,,
fruta,,substantivo feminino
fruto,,substantivo masculino
fucar,,verbo transitivo
fuder,,
fufio,,adjetivo
fugar,,verbo transitivo direto
fugaz,,adjetivo
fugir,,"verbo transitivo indireto, intransitivo e pronominal"
fugiu,,substantivo deverbal
fular,,substantivo masculino
fulva,,
fulvo,,adjetivo
fumai,,
fumam,,
fumar,,verbo transitivo direto e intransitivo
fumas,,
fumei,,
fumem,,
fumes,,
fumos,,
fumou,,
funai,,
funar,,
funda,,substantivo feminino
fundo,,adjetivo
funga,,
fungo,,substantivo masculino
funil,,substantivo masculino
funis,,
funje,,substantivo masculino
furai,,
furam,,
furao,,substantivo masculino
furar,,verbo transitivo e intransitivo
furas,,
furca,,
furco,,substantivo masculino
furei,,
furem,,
fures,,
furia,,substantivo feminino
furna,,substantivo feminino
furor,,substantivo masculino
furou,,
furte,,
furto,,substantivo masculino
fusao,,substantivo feminino
fusca,,substantivo feminino
fusco,,adjetivo
fusil,,adjetivo
fusta,,substantivo feminino
fuste,,substantivo masculino
futil,,adjetivo
futon,,
futre,,substantivo masculino
futum,,substantivo masculino
fuzil,,substantivo masculino
fuzue,,substantivo masculino
gabao,,substantivo masculino
gabar,,verbo pronominal
gabia,,feminino
gacha,,substantivo feminino
gacho,,substantivo masculino
gaffe,,
gague,,substantivo feminino
gaiar,,verbo intransitivo
gaias,,substantivo feminino plural
gaios,,
gaita,,substantivo feminino
gaiva,,substantivo masculino
gaizo,,
gajao,,substantivo masculino
galai,,
galam,,
galao,,substantivo masculino
galar,,verbo transitivo
galas,,substantivo masculino plural
galei,,
galem,,substantivo masculino
gales,,
galga,,
galgo,,substantivo masculino
galha,,substantivo feminino
galho,,substantivo masculino
galia,,feminino
galio,,substantivo masculino
gallo,,
galou,,
gamao,,substantivo masculino
gamar,,verbo transitivo
gamas,,
gamba,,substantivo masculino e feminino
gambe,,
gamer,,
ganda,,feminino
gandu,,
ganes,,substantivo masculino
ganga,,substantivo feminino
ganha,,feminino
ganhe,,
ganho,,substantivo masculino
ganir,,verbo intransitivo
ganso,,substantivo masculino
garbo,,substantivo masculino
garca,,substantivo feminino
garfo,,substantivo masculino
garoa,,substantivo feminino
garra,,substantivo feminino
garua,,substantivo feminino
gases,,substantivo masculino plural
gaste,,
gasto,,substantivo masculino
gatal,,adjetivo
gatas,,
gatil,,substantivo masculino
gatos,,
gavea,,substantivo feminino
gazua,,substantivo feminino
geada,,substantivo feminino
gebar,,verbo transitivo direto
geena,,substantivo feminino
geise,,
gelai,,
gelam,,
gelar,,verbo transitivo
gelei,,
gelem,,
geles,,
gelha,,substantivo feminino
gelou,,
gemar,,verbo intransitivo
gemas,,
gemeo,,"adjetivo, substantivo masculino"
gemer,,verbo intransitivo
genes,,
genia,,
genio,,substantivo masculino
genro,,substantivo masculino
gente,,substantivo feminino
geodo,,substantivo masculino
gerai,,
geral,,substantivo masculino
geram,,
gerar,,verbo transitivo direto
geras,,
gerei,,
gerem,,
geres,,
geria,,
gerir,,verbo transitivo direto
geris,,
germe,,substantivo masculino
gerou,,
gessa,,
gesso,,substantivo masculino
gesta,,substantivo feminino
gesto,,substantivo masculino
getas,,substantivo masculino plural
gibao,,substantivo masculino
gicle,,substantivo masculino
giclo,,
ginga,,
ginja,,substantivo feminino
ginos,,
girar,,verbo intransitivo
gires,,
giria,,substantivo feminino
girio,,adjetivo
giros,,
girua,,
glace,,
gleba,,substantivo feminino
glena,,substantivo feminino
glide,,
glifo,,substantivo masculino
globo,,substantivo masculino
glosa,,substantivo feminino
glose,,
gloso,,
glote,,substantivo feminino
gluon,,substantivo masculino
gnoma,,substantivo feminino
gnomo,,substantivo masculino
gnose,,substantivo feminino
goela,,substantivo feminino
gofre,,
goias,,substantivo masculino
goiva,,substantivo feminino
golao,,
golem,,
goles,,substantivo masculino plural
golfa,,
golfe,,substantivo masculino
golfo,,substantivo masculino
golpe,,substantivo masculino
gomar,,verbo transitivo direto
gongo,,substantivo masculino
gonis,,
gonzo,,substantivo masculino
gorai,,
goram,,
gorar,,verbo transitivo
goras,,
gorda,,substantivo feminino
gordo,,adjetivo
gorei,,
gorem,,
gores,,
gorga,,feminino
gorja,,substantivo feminino
gorou,,
gorro,,substantivo masculino
gosma,,substantivo feminino
gosta,,
gosto,,substantivo masculino
gotas,,
gouli,,substantivo masculino
gozai,,
gozam,,
gozar,,verbo transitivo direto e transitivo indireto
gozas,,
gozei,,
gozem,,
gozes,,
gozou,,
graal,,substantivo masculino
graca,,substantivo feminino
graco,,
grade,,substantivo feminino
grado,,substantivo masculino
grafo,,substantivo masculino
grama,,substantivo masculino
grana,,substantivo feminino
grata,,adjetivo
grato,,adjetivo
graus,,substantivo masculino plural
grava,,
grave,,adjetivo
gravo,,
graxa,,substantivo feminino
graxo,,adjetivo
grega,,substantivo feminino
grego,,adjetivo
greis,,
grejo,,feminino
grelo,,substantivo masculino
grena,,substantivo masculino
greta,,substantivo feminino
greve,,substantivo feminino
gride,,
grife,,substantivo feminino
grifo,,substantivo masculino
grila,,
grilo,,substantivo masculino
grima,,feminino
griot,,
gripe,,substantivo feminino
grita,,substantivo feminino
grite,,
grito,,substantivo masculino
grolo,,substantivo masculino
grosa,,substantivo feminino
grota,,substantivo feminino
grude,,substantivo masculino
grudo,,
grupo,,substantivo masculino
gruta,,substantivo feminino
guaja,,substantivo masculino
guape,,
guapo,,adjetivo
guara,,substantivo masculino
gudao,,
guebo,,substantivo masculino
gueis,,
gueja,,substantivo feminino
gueos,,
gueto,,substantivo masculino
gugle,,
guglo,,
guiar,,"verbo transitivo direto, bitransitivo e pronominal"
guico,,substantivo masculino
guido,,
guiga,,substantivo feminino
guine,,substantivo feminino
guiou,,
guisa,,substantivo feminino
guita,,feminino
guito,,
guizo,,substantivo masculino
gulag,,substantivo masculino
gulim,,
gunga,,substantivo masculino
guria,,substantivo feminino
gurme,,
gusla,,substantivo feminino
guspe,,
habil,,adjetivo
hades,,
hadji,,substantivo feminino
haiku,,
haiti,,
hajam,,substantivo deverbal
hajas,,
hakka,,
halfe,,
halux,,substantivo masculino
hanja,,
hansa,,substantivo feminino
hapax,,substantivo masculino
haras,,substantivo masculino
harem,,substantivo masculino
harpa,,substantivo feminino
harto,,adjetivo
hashi,,
hasta,,substantivo feminino
haste,,substantivo feminino
hauca,,substantivo masculino
haule,,
havai,,
havei,,
haver,,verbo impessoal
havia,,substantivo deverbal
hedra,,feminino
helio,,substantivo masculino
hemos,,
herde,,
herdo,,substantivo masculino
hereu,,substantivo masculino
herma,,substantivo feminino
heroi,,substantivo masculino
hertz,,substantivo masculino
hiato,,substantivo masculino
hidra,,substantivo feminino
hidro,,substantivo feminino
hiena,,substantivo feminino
hifen,,substantivo masculino
hilar,,adjetivo
himen,,substantivo masculino
hindi,,substantivo masculino
hindu,,"adjetivo, substantivo masculino e feminino"
hiper,,prefixo
hirto,,adjetivo
hobby,,substantivo masculino
hojes,,
homem,,substantivo masculino
homum,,substantivo masculino
honor,,substantivo masculino
honra,,substantivo feminino
horar,,verbo intransitivo
horas,,
horda,,substantivo feminino
horsa,,substantivo feminino
horta,,substantivo feminino
horto,,substantivo masculino
horus,,
hosco,,adjetivo
hoste,,substantivo masculino
hotel,,substantivo masculino
houve,,substantivo deverbal
hulha,,substantivo feminino
humor,,substantivo masculino
humus,,substantivo masculino
hurra,,interjeicao e substantivo masculino
husar,,
husma,,
iacri,,
iamos,,
iansa,,substantivo feminino
iaque,,substantivo masculino
iaras,,
ibama,,sigla
ibate,,
ibema,,
ibero,,adjetivo
ibiai,,
ibiam,,
ibira,,substantivo feminino
iboga,,substantivo feminino
ibope,,adjetivo
icara,,feminino
icaro,,substantivo masculino
icatu,,
icone,,substantivo masculino
idade,,substantivo feminino
idaho,,
ideal,,adjetivo
idear,,verbo transitivo
ideia,,
idola,,substantivo feminino
idolo,,substantivo masculino
idosa,,
idoso,,substantivo masculino
iemem,,
iemen,,
igaci,,
igara,,substantivo feminino
igneo,,adjetivo
iguai,,
igual,,adjetivo
ijaci,,
ileso,,adjetivo
ilhar,,verbo transitivo
ilhas,,
ilheu,,adjetivo
ilhoa,,adjetivo
ilhos,,substantivo masculino e feminino
ilibe,,
ilibo,,
ilude,,
imago,,substantivo feminino
imame,,substantivo masculino
imane,,adjetivo
imbau,,
imiga,,
imigo,,adjetivo
imita,,
imole,,
imolo,,
imoto,,adjetivo
impar,,verbo intransitivo
impia,,
impio,,substantivo masculino
impor,,"verbo transitivo direto, bitransitivo e pronominal"
imune,,adjetivo
inaja,,substantivo masculino
inala,,
inale,,
inalo,,
inato,,adjetivo
incar,,verbo transitivo
incas,,
incha,,substantivo feminino
inche,,
incho,,
incoa,,
incoe,,adjetivo
incoo,,
incra,,
index,,
indez,,"adjetivo, substantivo masculino"
india,,
indie,,
indio,,substantivo masculino
indol,,substantivo masculino
infra,,preposicao
ingai,,substantivo masculino
ingua,,substantivo feminino
inica,,
inico,,
inume,,
inumo,,
inves,,substantivo masculino
iones,,
ionte,,substantivo masculino
ipaba,,
ipero,,
iphan,,
ipiau,,
ipira,,
ipora,,
ipubi,,
irada,,
irado,,adjetivo
irani,,
irara,,substantivo feminino
irati,,
irece,,
ireis,,
irene,,
irere,,substantivo masculino
irite,,substantivo feminino
irmao,,substantivo masculino
irmas,,
irosa,,
iroso,,adjetivo
irupi,,
iscar,,verbo transitivo
islao,,substantivo masculino
ismar,,
isola,,
isole,,
isolo,,
istmo,,substantivo masculino
itabi,,
itaca,,
itaco,,
itagi,,
itaja,,
itaje,,
itaju,,
itala,,
italo,,adjetivo
itape,,
itati,,
itera,,
itere,,
itero,,
itobi,,substantivo masculino
itrio,,substantivo masculino
iuane,,
iurta,,
ivana,,
ivano,,
ivate,,
ivora,,
ivoti,,
ixora,,substantivo feminino
jacis,,
jacob,,
jacre,,substantivo masculino
jacto,,
jacui,,substantivo masculino
jader,,
jagoz,,
jagra,,substantivo feminino
jagre,,substantivo masculino
jaiba,,
jaime,,
jaina,,"adjetivo, substantivo masculino e feminino"
jaira,,
jairo,,
jales,,
jalne,,adjetivo
jamba,,substantivo feminino
jambo,,substantivo masculino
jambu,,substantivo masculino
janal,,adjetivo
janga,,
janio,,
janta,,substantivo feminino
jante,,substantivo feminino
janto,,
japao,,adjetivo
jaque,,substantivo masculino
jarda,,substantivo feminino
jarra,,substantivo feminino
jarro,,substantivo masculino
jaspe,,substantivo masculino
jatai,,substantivo feminino
jatei,,
jaula,,substantivo feminino
jauru,,
javra,,
javre,,substantivo masculino
javro,,
jazem,,
jazer,,verbo intransitivo
jeane,,
jegre,,substantivo masculino
jegue,,substantivo masculino
jeira,,substantivo feminino
jeito,,substantivo masculino
jejue,,
jejum,,substantivo masculino
jejuo,,
jelco,,
jeova,,substantivo masculino
jeque,,substantivo masculino
jerra,,substantivo feminino
jerro,,
jesus,,interjeicao
jetom,,substantivo masculino
jeton,,
jiade,,
jigue,,
jihad,,substantivo masculino
jines,,
jipao,,substantivo masculino
jiqui,,substantivo masculino
jirau,,substantivo masculino
joaes,,
joana,,
joane,,adjetivo
joeis,,
jogar,,verbo transitivo e intransitivo
jogos,,
joias,,
joica,,feminino
joice,,
joker,,
jolda,,feminino
jolho,,
jonas,,
jongo,,substantivo masculino
jonia,,
jonio,,adjetivo
jooes,,
jorge,,
jorna,,substantivo feminino
jorne,,feminino
jorro,,substantivo masculino
joses,,
josta,,
josue,,
jotas,,
joule,,substantivo masculino
jovem,,adjetivo
joves,,
juara,,
jucas,,
juche,,
judas,,substantivo masculino
judeu,,substantivo masculino
judia,,substantivo feminino
jugar,,verbo transitivo
juina,,
juiza,,substantivo feminino
juizo,,substantivo masculino
julho,,substantivo masculino
julia,,
julio,,adjetivo
jumbo,,
junco,,substantivo masculino
jungo,,substantivo masculino
junho,,substantivo masculino
junia,,
junio,,
junos,,
junta,,substantivo feminino
junte,,
junto,,adjetivo
jupia,,substantivo masculino
jurai,,
juram,,
jurar,,verbo transitivo
juras,,
jurei,,
jurem,,
jures,,
juris,,
juros,,
jurou,,
jurua,,
jusao,,adjetivo
jussa,,
justa,,substantivo feminino
justo,,substantivo masculino
jutai,,substantivo masculino
kanji,,
karbi,,
karma,,
kasha,,
kayak,,
kendo,,
khasi,,
khmer,,
kirie,,
knyaz,,
koala,,
koban,,
koine,,
kombi,,
konel,,
krill,,substantivo masculino
kuait,,
kudzu,,
kulak,,
kumel,,
kumyk,,
kyoto,,
kyrie,,substantivo masculino
kyzyl,,
labeu,,substantivo masculino
labia,,substantivo feminino
labil,,adjetivo
labio,,substantivo masculino
labor,,substantivo masculino
lacao,,"adjetivo, substantivo masculino"
lacar,,verbo intransitivo
lacei,,
lacho,,
lacio,,
lacos,,
lacre,,substantivo masculino
lados,,
ladra,,"adjetivo, substantivo feminino"
ladre,,
ladro,,"adjetivo, substantivo masculino"
lagar,,substantivo masculino
lages,,
lagoa,,substantivo feminino
lagos,,
laiar,,
laico,,adjetivo
laido,,adjetivo
laivo,,substantivo masculino
lajes,,
lamas,,
lambe,,
lamen,,
lamia,,substantivo feminino
lamim,,
lampo,,adjetivo
lanca,,substantivo feminino
lance,,substantivo masculino
lanco,,substantivo masculino
lande,,substantivo feminino
lange,,
lanha,,substantivo feminino
lanho,,substantivo masculino
lapao,,adjetivo
lapar,,
lapia,,
lapis,,substantivo masculino
lapso,,substantivo masculino
laque,,substantivo masculino
lardo,,substantivo masculino
lares,,
lareu,,substantivo masculino
larga,,
largo,,adjetivo
larpa,,
larpe,,
larpo,,
larva,,substantivo feminino
lasca,,substantivo feminino
laser,,substantivo masculino
lassa,,
lasse,,
lasso,,adjetivo
latao,,substantivo masculino
latar,,
latas,,
later,,verbo intransitivo
latex,,substantivo masculino
latia,,
latim,,substantivo masculino
latir,,verbo intransitivo
lauda,,substantivo feminino
laude,,feminino
laudo,,substantivo masculino
laura,,
lauro,,substantivo masculino
lauta,,
lauto,,adjetivo
lavai,,
lavam,,
