word,history,part_of_speech
antao,,adverbio
antar,,verbo transitivo
antas,,
antes,,adverbio
anteu,,
antro,,substantivo masculino
anual,,adjetivo
anuir,,verbo transitivo indireto e intransitivo
anuiu,,
anule,,
anulo,,substantivo masculino
anuro,,adjetivo
anzol,,substantivo masculino
aonde,,adverbio
aonia,,
aorta,,substantivo feminino
apage,,
apara,,substantivo feminino
apare,,
aparo,,substantivo masculino
apear,,verbo transitivo
apego,,substantivo masculino
apela,,
apelo,,substantivo masculino
apiai,,
apice,,substantivo masculino
apito,,substantivo masculino
apode,,adjetivo
apodi,,
apodo,,substantivo masculino
apoio,,substantivo masculino
apojo,,substantivo masculino
apolo,,
apora,,
apore,,
apple,,
apupo,,substantivo masculino
apure,,
apuro,,substantivo masculino
aquem,,adverbio
arabe,,substantivo masculino
araca,,"adjetivo, substantivo masculino"
araci,,
aracu,,substantivo masculino
arado,,substantivo masculino
arama,,substantivo masculino
arame,,substantivo masculino
aramo,,substantivo masculino
arana,,
arara,,substantivo feminino
arari,,
araua,,
araxa,,substantivo masculino
arcao,,
arcar,,verbo transitivo indireto
arcaz,,substantivo masculino
archa,,substantivo feminino
arcol,,
arcos,,
arder,,verbo intransitivo
ardia,,
ardil,,substantivo masculino
ardis,,substantivo masculino plural
ardor,,substantivo masculino
arduo,,adjetivo
areal,,substantivo masculino
arear,,verbo transitivo
areas,,
areca,,substantivo feminino
areia,,substantivo feminino
areje,,
arejo,,substantivo masculino
arela,,
arele,,
arelo,,
arena,,substantivo feminino
arepa,,substantivo feminino
arere,,substantivo masculino e feminino
areus,,
arfar,,verbo intransitivo
argan,,
argel,,
argon,,
argos,,
arial,,
arias,,substantivo feminino plural
arido,,adjetivo
ariel,,
aries,,
arigo,,
arilo,,substantivo masculino
arimo,,substantivo masculino
arios,,
arjao,,substantivo masculino
armai,,
armam,,
armar,,verbo transitivo
armas,,
armei,,
armem,,
armes,,
armou,,
armur,,substantivo masculino
arnal,,adjetivo
arnaz,,
arnes,,substantivo masculino
arola,,feminino
arolo,,
aroma,,substantivo masculino
aromo,,
arosi,,
arpao,,substantivo masculino
arpar,,verbo transitivo
arpeu,,substantivo masculino
arras,,substantivo feminino
arrau,,
arreu,,adverbio
arroz,,substantivo masculino
artes,,
artur,,
aruba,,
aruja,,
arujo,,substantivo masculino
arula,,substantivo feminino
arume,,
arxar,,verbo transitivo direto
asais,,
asara,,
asava,,
ascii,,
ascua,,substantivo feminino
aseis,,
asilo,,substantivo masculino
asnal,,adjetivo masculino e feminino
asnar,,
asnos,,
aspar,,verbo transitivo
aspas,,
assai,,
assam,,
assar,,verbo transitivo
assas,,
assaz,,adverbio
assei,,
assem,,
asses,,
assim,,adverbio
assis,,
assou,,
assua,,
astro,,substantivo masculino
astur,,substantivo masculino
atado,,substantivo masculino
atais,,
atara,,
atava,,
atear,,verbo transitivo
ateia,,substantivo feminino
ateis,,
atena,,
atese,,
ateso,,
ateus,,
atica,,
atico,,
